1,d.i. aceh
2,sumatera utara
3,bengkulu
4,jambi
5,riau
6,sumatera barat
7,sumatera selatan
8,lampung
9,kepulauan bangka belitung
10,kepulauan riau
11,banten
12,jawa barat
13,dki jakarta
14,jawa tengah
15,jawa timur
16,d.i. yogyakarta
17,bali
18,nusa tenggara barat
19,nusa tenggara timur
20,kalimantan barat
21,kalimantan selatan
22,kalimantan tengah
23,kalimantan timur
24,gorontalo
25,sulawesi selatan
26,sulawesi tenggara
27,sulawesi tengah
28,sulawesi utara
29,sulawesi barat
30,maluku
31,maluku utara
32,papua barat
33,papua
34,kalimantan utara
